5x5, 106μs, 0ms, 0s
10x10, 493μs, 0ms, 0s
20x20, 5400μs, 5ms, 0s
100x100, 720955μs, 720ms, 0s
100x100_unbal01, 590483μs, 590ms, 0s
100x100_unbal02, 797361μs, 797ms, 0s
200x200, 2731768μs, 2731ms, 2s
