5x5, 6μs, 0ms, 0s
10x10, 142μs, 0ms, 0s
20x20, 5353μs, 5ms, 0s
100x100, 1866664μs, 1866ms, 1s
100x100_unbal01, 1260640μs, 1260ms, 1s
100x100_unbal02, 1807971μs, 1807ms, 1s
200x200, 6770199μs, 6770ms, 6s
