5x5, 152μs, 0ms, 0s
10x10, 978μs, 0ms, 0s
20x20, 7819μs, 7ms, 0s
100x100, 736966μs, 736ms, 0s
100x100_unbal01, 492980μs, 492ms, 0s
100x100_unbal02, 609146μs, 609ms, 0s
200x200, 2870464μs, 2870ms, 2s
